iter	Passed	Remaining
0	0	81
1	1	79
2	2	73
3	2	66
4	3	67
5	4	68
6	4	66
7	5	65
8	6	65
9	7	64
10	7	64
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	13	59
18	13	59
19	14	58
20	15	58
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
